
Going to calculate the following Fibonacci numbers (#:trials-number):
#0:1-10   #1:50-5   #2:40-43   #3:50-10   
Participating SHORTs:
#0:1366   #1:1367   #2:1368   #3:1369   
START PRINTING 150 SWITCHES:
===================================================================
     PREV-PID - NEXT-PID - PREV-POL - NEXT-POL -   TIME   -  REASON
 80:    1359  |     427  |    OTHER |    OTHER |  392912  | STARTED WAITING
 81:     427  |    1359  |    OTHER |    OTHER |  392912  | STARTED WAITING
 82:    1359  |     427  |    OTHER |    OTHER |  392912  | STARTED WAITING
 83:     427  |    1359  |    OTHER |    OTHER |  392912  | STARTED WAITING
 84:    1359  |     427  |    OTHER |    OTHER |  392912  | STARTED WAITING
 85:     427  |    1359  |    OTHER |    OTHER |  392913  | STARTED WAITING
 86:    1359  |     427  |    OTHER |    OTHER |  392913  | STARTED WAITING
 87:     427  |    1359  |    OTHER |    OTHER |  392913  | STARTED WAITING
 88:    1359  |     427  |    OTHER |    OTHER |  392913  | STARTED WAITING
 89:     427  |    1359  |    OTHER |    OTHER |  392913  | STARTED WAITING
 90:    1359  |     427  |    OTHER |    OTHER |  392913  | STARTED WAITING
 91:     427  |    1359  |    OTHER |    OTHER |  392913  | STARTED WAITING
 92:    1359  |     427  |    OTHER |    OTHER |  392913  | STARTED WAITING
 93:     427  |    1359  |    OTHER |    OTHER |  392913  | STARTED WAITING
 94:    1359  |     427  |    OTHER |    OTHER |  392913  | STARTED WAITING
 95:     427  |    1359  |    OTHER |    OTHER |  392913  | STARTED WAITING
 96:    1359  |     427  |    OTHER |    OTHER |  392913  | STARTED WAITING
 97:     427  |     988  |    OTHER |    OTHER |  392914  | HIGHER PRIO ARRIVED
 98:     988  |     427  |    OTHER |    OTHER |  392914  | STARTED WAITING
 99:     427  |    1359  |    OTHER |    OTHER |  392914  | STARTED WAITING
100:    1359  |     427  |    OTHER |    OTHER |  392914  | STARTED WAITING
101:     427  |    1359  |    OTHER |    OTHER |  392914  | STARTED WAITING
102:    1359  |     427  |    OTHER |    OTHER |  392914  | STARTED WAITING
103:     427  |    1359  |    OTHER |    OTHER |  392914  | STARTED WAITING
104:    1359  |     427  |    OTHER |    OTHER |  392914  | STARTED WAITING
